id,name,lon,lat,type
252,CHURCH AV-FG,-73.97972116,40.644272,NYCT
253,CITY / BUS-1,-74.0290254,40.7356089,PATH
254,CITY HALL-NRW,-74.00698582,40.71327233,NYCT
255,CLARK ST-23,-73.993086,40.697466,NYCT
256,CLASSON AV-G,-73.95999,40.688889,NYCT
257,CLEVELAND ST-J,-73.885194,40.679778,NYCT
258,CLINTON-WASH AV-C,-73.965838,40.683263,NYCT
259,CLINTON-WASH AV-G,-73.966796,40.688094,NYCT
260,CONEY IS-STILLW-DFNQ,-73.981236,40.577281,NYCT
261,CORTELYOU RD-BQ,-73.96379006,40.64094017,NYCT
262,CORTLANDT ST-RNW,-74.01113196,40.71051298,NYCT
263,COURT SQ-23 ST-EMG,-73.9460547,40.74776812,NYCT
264,COURT SQ-7,-73.945264,40.747023,NYCT
265,COURT SQ-EMG,-73.9438156,40.74630503,NYCT
266,CRESCENT ST-JZ,-73.87392925,40.68315266,NYCT
267,CROWN HTS-UTICA-34,-73.93293256,40.66897831,NYCT
268,CYPRESS AV-6,-73.914042,40.805368,NYCT
269,CYPRESS HILLS-J,-73.873322,40.689616,NYCT
270,DEKALB AV-BDNQR,-73.98177094,40.69064812,NYCT
271,DEKALB AV-L,-73.918232,40.703693,NYCT
272,DELANCEY/ESSEX-FJMZ,-73.9874094,40.71830606,NYCT
273,DITMAS AV-F,-73.978172,40.63611867,NYCT
274,DYCKMAN ST-1,-73.925536,40.860531,NYCT
275,DYCKMAN ST-A,-73.927271,40.865491,NYCT
276,E 143/ST MARY'S-6,-73.907657,40.808719,NYCT
277,E 149 ST-6,-73.907657,40.808719,NYCT
278,E 180 ST-25,-73.904098,40.812118,NYCT
279,EAST 105 ST-L,-73.89954769,40.65046879,NYCT
280,EAST BROADWAY-F,-73.990177,40.713855,NYCT
281,EASTCHSTER/DYRE-5,-73.830834,40.8883,NYCT
282,EASTN PKWY-MUSM-23,-73.96422204,40.67203224,NYCT
283,ELDER AV-6,-73.879159,40.828584,NYCT
284,ELMHURST AV-MR,-73.88203475,40.74237008,NYCT
285,EUCLID AV-AC,-73.872106,40.675377,NYCT
286,EXCHANGE PLACE-1,-74.0356109,40.7164295,PATH
287,FAR ROCKAWAY-A,-73.755405,40.603995,NYCT
288,FLATBUSH AV-B.C-25,-73.94754121,40.63284241,NYCT
289,FLUSHING AV-G,-73.950234,40.70037667,NYCT
290,FLUSHING AV-JM,-73.94137735,40.7004044,NYCT
291,FLUSHING-MAIN-7,-73.83003,40.7596,NYCT
292,FORDHAM RD-4,-73.901034,40.862803,NYCT
293,FORDHAM RD-BD,-73.897749,40.861296,NYCT
294,FOREST AVE-M,-73.903075,40.704412,NYCT
295,FOREST HILLS 71-EFMR,-73.84451672,40.72159431,NYCT
296,FRANKLIN AV-2345S,-73.95809974,40.67076515,NYCT
297,FRANKLIN AV-ACS,-73.955827,40.68059567,NYCT
298,FRANKLIN ST-1,-74.006886,40.719318,NYCT
299,FREEMAN ST-25,-73.89175225,40.82998745,NYCT
300,FRESH POND RD-M,-73.895898,40.706226,NYCT
301,FT HAMILTON PKY-D,-73.99420224,40.64091271,NYCT
302,FT HAMILTON PKY-FG,-73.975776,40.65078167,NYCT
303,FT HAMILTON PKY-N,-74.005351,40.63138567,NYCT
304,FULTON ST-2345ACJZ,-74.006571,40.709416,NYCT
305,FULTON ST-ACJZ2345,-74.00762309,40.71016217,NYCT
306,FULTON ST-G,-73.975375,40.687119,NYCT
307,GATES AV-JZ,-73.922156,40.689584,NYCT
308,GRAHAM AV-L,-73.943944,40.714576,NYCT
309,GRAND ARMY PLAZ-23,-73.97095633,40.6752947,NYCT
310,GRAND ST-BD,-73.993753,40.718267,NYCT
311,GRAND ST-L,-73.940497,40.711576,NYCT
312,GRAND-NEWTOWN-MR,-73.87722086,40.73681342,NYCT
313,GRANT AV-A,-73.86505,40.677044,NYCT
314,GRD CNTRL-42 ST-4567S,-73.9767133,40.75180743,NYCT
315,GREENPOINT AV-G,-73.954425,40.731267,NYCT
316,GROVE STREET-1,-74.0448327,40.7196062,PATH
317,GUN HILL RD-25,-73.86613411,40.87783939,NYCT
318,GUN HILL RD-5,-73.846384,40.869526,NYCT
319,HALSEY ST-J,-73.91663888,40.68641527,NYCT
320,HALSEY ST-L,-73.903934,40.695518,NYCT
321,HARLEM 148 ST-3,-73.93647,40.82388,NYCT
322,HARRISON-1,-74.1589544,40.7386266,PATH
323,HEWES ST-JM,-73.953488,40.70689,NYCT
324,HIGH ST-AC,-73.990531,40.699337,NYCT
325,HOUSTON ST-1,-74.005367,40.728251,NYCT
326,HOWARD BCH JFK-A,-73.830301,40.660476,NYCT
327,HOYT ST-23,-73.9850638,40.69054419,NYCT
328,HOYT-SCHER-ACG,-73.98503624,40.68840848,NYCT
329,HUNTERS PT AV-7,-73.948916,40.742216,NYCT
330,HUNTS POINT AV-6,-73.890549,40.820948,NYCT
331,INTERVALE AV-25,-73.89661738,40.82214213,NYCT
332,INWOOD-207 ST-A,-73.919899,40.868072,NYCT
333,JACKSON AV-25,-73.90770194,40.81643747,NYCT
334,JAMAICA 179 ST-F,-73.783817,40.71264567,NYCT
335,JAMAICA CENTER-EJZ,-73.80109632,40.70206738,NYCT
336,JAMAICA VAN WK-E,-73.81701287,40.70289855,NYCT
337,JAY ST-METROTEC-ACF,-73.98721815,40.69247064,NYCT
338,JAY ST-METROTEC-R,-73.98605668,40.6922554,NYCT
339,JEFFERSON ST-L,-73.922913,40.70660667,NYCT
340,JFK JAMAICA CT1-E,-73.8110404,40.698758,AIRTRAIN
341,JKSN HT-ROOSVLT-EFMR7,-73.89129867,40.74653969,NYCT
342,JOURNAL SQUARE-1,-74.0641701,40.7321227,PATH
343,JUNCTION BLVD-7,-73.869527,40.749145,NYCT
344,JUNIUS ST-3,-73.90244864,40.663589,NYCT
345,KEW GARDENS-EF,-73.83037027,40.71403482,NYCT
346,KINGS HWY-BQ,-73.95760874,40.60863865,NYCT
347,KINGS HWY-F,-73.97235531,40.60325841,NYCT
348,KINGS HWY-N,-73.980373,40.604059,NYCT
349,KINGSBRIDGE RD-4,-73.897174,40.86776,NYCT
350,KINGSBRIDGE RD-BD,-73.893509,40.866978,NYCT
351,KINGSTON AV-3,-73.94215978,40.66948145,NYCT
352,KINGSTON-THROOP-C,-73.940859,40.679919,NYCT
353,KNICKERBOCKER-M,-73.91972,40.69866,NYCT
354,KOSCIUSZKO ST-J,-73.928509,40.693172,NYCT
355,LACKAWANNA-1,-74.0303804,40.7352022,PATH
356,LAFAYETTE AV-C,-73.973946,40.686113,NYCT
357,LEXINGTON AV/53-EM6,-73.96907237,40.75746831,NYCT
358,LEXINGTON AV/63-F,-73.96608964,40.76461809,NYCT
359,LIBERTY AV-C,-73.896548,40.674542,NYCT
360,LIVONIA AV-L,-73.90056237,40.66405727,NYCT
361,LONGWOOD AV-6,-73.896435,40.816104,NYCT
362,LORIMER ST-JM,-73.947355,40.703844,NYCT
363,LORIMER ST-LG,-73.950248,40.714072,NYCT
364,MARBLE HILL-225-1,-73.909831,40.874561,NYCT
365,MARCY AV-JMZ,-73.957832,40.708383,NYCT
366,METROPOLITAN AV-GL,-73.951424,40.712774,NYCT
367,METROPOLITAN AV-M,-73.88957723,40.71143131,NYCT
368,METS-WILLETS PT-7,-73.845625,40.754622,NYCT
369,MIDDLETOWN RD-6,-73.836322,40.843863,NYCT
370,MONTROSE AV-L,-73.93979285,40.70739106,NYCT
371,MORGAN AV-L,-73.933147,40.70615167,NYCT
372,MORISN AV/SNDVW-6,-73.874516,40.829521,NYCT
373,MORRIS PARK-5,-73.860495,40.854364,NYCT
374,MOSHOLU PKWY-4,-73.884655,40.87975,NYCT
375,MT EDEN AV-4,-73.914685,40.844434,NYCT
376,MYRTLE AV-JMZ,-73.935623,40.697195,NYCT
377,MYRTLE-WILLOUGH-G,-73.949067,40.694619,NYCT
378,MYRTLE-WYCKOFF-LM,-73.91097572,40.69947106,NYCT
379,NASSAU AV-G,-73.951183,40.72448,NYCT
380,NECK RD-BQ,-73.95507827,40.59532169,NYCT
381,NEPTUNE AV-F,-73.97459273,40.58073876,NYCT
382,NEREID AV-25,-73.85431531,40.89828652,NYCT
383,NEVINS ST-2345,-73.9804068,40.68831058,NYCT
384,NEW LOTS AV-3,-73.88411071,40.66631493,NYCT
385,NEW LOTS-L,-73.89927796,40.65891477,NYCT
386,NEW UTRECHT AV-ND,-73.996353,40.62484167,NYCT
387,NEWARK BM BW-1,-74.1661807,40.7345989,PATH
388,NEWARK C-1,-74.1661807,40.7345989,PATH
389,NEWARK HM HE-1,-74.1661807,40.7345989,PATH
390,NEWARK HW BMEBE-1,-74.1661807,40.7345989,PATH
391,NEWKIRK AV-25,-73.94829991,40.63999124,NYCT
392,NEWKIRK PLAZA-BQ,-73.96269487,40.63514194,NYCT
393,NORTHERN BLVD-MR,-73.90606508,40.75282483,NYCT
394,NORWOOD 205 ST-D,-73.878855,40.874811,NYCT
395,NORWOOD AV-JZ,-73.879626,40.68152,NYCT
396,NOSTRAND AV-3,-73.95042625,40.66993815,NYCT
397,NOSTRAND AV-AC,-73.950426,40.680438,NYCT
398,OCEAN PKWY-Q,-73.968501,40.57631167,NYCT
399,OZONE PK LEFFRT-A,-73.825798,40.685951,NYCT
400,PARK PLACE-23ACE,-74.008811,40.713051,NYCT
401,PARK PLACE-S,-73.957624,40.67477167,NYCT
402,PARKCHESTER-6,-73.860816,40.833226,NYCT
403,PARKSIDE AV-BQ,-73.96145344,40.65507304,NYCT
404,PARSONS BLVD-F,-73.803289,40.707572,NYCT
405,PATH NEW WTC-1,-74.0123536,40.7108972,PATH
406,PATH WTC 2-1,-74.0123536,40.7108972,PATH
407,PAVONIA/NEWPORT-1,-74.0359519,40.7269845,PATH
408,PELHAM BAY PARK-6,-73.828121,40.852462,NYCT
409,PELHAM PKWY-25,-73.86748068,40.85719241,NYCT
410,PELHAM PKWY-5,-73.855359,40.858985,NYCT
411,PENNSYLVANIA AV-3,-73.89488591,40.66471445,NYCT
412,PRESIDENT ST-25,-73.9505892,40.6678836,NYCT
413,PRINCE ST-NRW,-73.997702,40.72432867,NYCT
414,PROSPECT AV-25,-73.90177779,40.81948726,NYCT
415,PROSPECT AV-R,-73.992872,40.66541367,NYCT
416,PROSPECT PARK-BQS,-73.9620313,40.66163346,NYCT
417,QUEENS PLAZA-EMR,-73.93713824,40.74891772,NYCT
418,QUEENSBORO PLZ-7NQW,-73.94016354,40.75063565,NYCT
419,RALPH AV-C,-73.920786,40.678822,NYCT
420,RECTOR ST-1,-74.013783,40.707513,NYCT
421,RECTOR ST-NRW,-74.01297456,40.70774476,NYCT
422,RIT-MANHATTAN-R,-73.9658528,40.7608908,TRAM
423,RIT-ROOSEVELT-R,-73.9547327,40.7581259,TRAM
424,ROCKAWAY AV-3,-74.013783,40.707513,NYCT
425,ROCKAWAY AV-C,-73.911946,40.67834,NYCT
426,ROCKAWAY BLVD-A,-73.843853,40.680429,NYCT
427,ROCKAWAY PARK B-AS,-73.83559009,40.58095587,NYCT
428,ROOSEVELT ISLND-F,-73.953235,40.759172,NYCT
429,SARATOGA AV-3,-73.91633025,40.66152979,NYCT
430,SENECA AVE-M,-73.907582,40.702919,NYCT
431,SHEEPSHEAD BAY-BQ,-73.95405791,40.58654755,NYCT
432,SHEPHERD AV-C,-73.88075,40.67413,NYCT
433,SIMPSON ST-25,-73.8930664,40.82397684,NYCT
434,SMITH-9 ST-FG,-73.99589173,40.67364106,NYCT
435,SOUTH FERRY-1RW,-74.01316896,40.70173051,NYCT
436,SPRING ST-6,-73.997141,40.722301,NYCT
437,SPRING ST-CE,-74.003739,40.726227,NYCT
438,ST LAWRENCE AV-6,-73.867618,40.831509,NYCT
439,ST. GEORGE-1,-74.0755214,40.6440019,SIR
440,STEINWAY ST-MR,-73.92052647,40.75698736,NYCT
441,STERLING ST-25,-73.95072891,40.66277299,NYCT
442,SUTPHIN BLVD-F,-73.810833,40.705418,NYCT
443,SUTPHIN-ARCHER-EJZ,-73.80800472,40.70038242,NYCT
444,SUTTER AV-L,-73.901916,40.669145,NYCT
445,SUTTER AV-RUTLD-3,-73.92252119,40.66476679,NYCT
446,THIRTY ST-1,-73.9903995,40.7470123,PATH
447,THIRTY THIRD ST-1,-73.9907115,40.748565,PATH
448,TIMES SQ-42 ST-1237ACENQRS,-73.987495,40.75529,NYCT
449,TIMES SQ-42 ST-1237ACENQRSW,-73.987691,40.755477,NYCT
450,TIMES SQ-42 ST-ACENQRS1237W,-73.986768,40.754612,NYCT
451,TOMPKINSVILLE-1,-74.0755536,40.6400291,SIR
452,TREMONT AV-BD,-73.905227,40.85041,NYCT
453,TWENTY THIRD ST-1,-73.9935855,40.7423509,PATH
454,UNION ST-R,73.98311,40.67731567,NYCT
455,UTICA AV-AC,-73.930729,40.679364,NYCT
456,V.CORTLANDT PK-1,-73.898583,40.889248,NYCT
457,VAN SICLEN AV-3,-73.88940492,40.66551796,NYCT
